exp;video;id;mother track;daughter track(s);metaphase frame - mitosis video;cytokinesis frame - mitosis video;first MT cut frame - mitosis video;second MT cut frame - mitosis video;metaphase frame;cytokinesis frame;first MT cut frame;second MT cut frame;position midbody x;position midbody y;first MT cut time;second MT cut time;;matched cytokinesis frame;matched cut frame;matched position midbody x;matched position midbody y
EXP1;Control-4;26;4;98;8;14;TOO_SHORT_CUT;TOO_SHORT_CUT;75;81;TOO_SHORT_CUT;TOO_SHORT_CUT;1509;90;;;;-1;-1;-1;-1
EXP1;Control-4;27;2;95;10;12;30;36;77;79;97;103;842;229;180;240;;79;97;810;310
EXP1;Control-4;28;6;94,88;9;11;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;72;74;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1008;323;;;;-1;-1;-1;-1
EXP1;Control-4;29;24;93;9;13;TOO_SHORT_CUT;TOO_SHORT_CUT;74;78;TOO_SHORT_CUT;TOO_SHORT_CUT;498;986;;;;78;91;520;1056
EXP1;Control-4;2;217;316,315;3;12;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;226;235;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;760;502;;;;-1;-1;-1;-1
EXP1;Control-4;30;22;56;6;11;19;22;32;37;45;48;1280;1047;80;110;;38;46;1260;1047
EXP1;Control-4;3;257;305;9;12;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;228;231;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-4;4;2;300;3;11;23;27;220;228;240;244;715;350;120;160;;229;244;784;273
EXP1;Control-4;5;173;294;10;12;NEAR_BORDER;NEAR_BORDER;222;224;NEAR_BORDER;NEAR_BORDER;723;41;;;;224;232;721;12
EXP1;Control-4;6;274;287;4;9;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;217;222;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-4;7;226;266;10;10;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;210;210;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-4;8;6;263;10;19;TOO_SHORT_CUT;TOO_SHORT_CUT;201;210;TOO_SHORT_CUT;TOO_SHORT_CUT;1015;610;;;;-1;-1;-1;-1
EXP1;Control-4;9;158;262;9;11;TOO_SHORT_CUT;TOO_SHORT_CUT;207;209;TOO_SHORT_CUT;TOO_SHORT_CUT;117;884;;;;209;218;136;886
EXP1;Control-5;0;4;320;10;12;19;NO_CUT_DETECTED;241;243;250;NO_CUT_DETECTED;1129;235;70;;;243;251;1119;250
EXP1;Control-5;10;20;233,226;9;9;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;182;182;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1138;800;;;;-1;-1;-1;-1
EXP1;Control-5;11;11;229;9;12;23;24;180;183;194;195;1300;465;110;120;;183;194;1297;443
